,author_gender,lang,main,mental,published,sentiment,source_followers,source_following,source_location,source_spam_probability,tags,split
3739364,FEMALE,en,dean its not on me to let you do anything youre a grown  overgrown man,0,2016-07-31 11:02:55,NEUTRAL,72,101,Schweiz,0,,dean let anyth your grown overgrown man
1698709,UNKNOWN,en,  i live in switzerland i hate my life or no cause we have the best choclate,0,2016-08-15 20:30:29,NEUTRAL,827,749,Switzerland,0,,live switzerland hate life caus best choclat
176364,UNKNOWN,en,one game of r6s wont hurt before sleep xd,0,2016-08-02 21:59:32,NEGATIVE,99,139,Switzerland,0,,one game r6s wont hurt sleep xd
2300721,MALE,en,  are you showing taekwondo today and when why is there replay of bronze game badminton now it says it is supposed to be live coverage,0,2016-08-20 13:22:03,NEUTRAL,71,442,Switzerland,0,,show taekwondo today replay bronz game badminton say suppos live coverag
2035108,UNKNOWN,en,covers in fluff and pizza shh no sadness only hugs and junk food 3,0,2016-07-18 21:37:44,NEGATIVE,666,601,Switzerland,0,,cover fluff pizza shh sad hug junk food 3
1851841,UNKNOWN,en,  ive actually had the episodes on my hard drive for years but i wish i could download more time in my life to watch it too,0,2016-09-16 20:50:36,NEGATIVE,909,565,"Genève, Suisse",0,,ive actual episod hard drive year wish could download time life watch
3755197,MALE,en,miz has a point why hate someone because they didnt start off in the indys miz isnt the best but he surely isnt the worst sdlive,0,2016-08-31 00:16:30,NEGATIVE,876,389,"WorldPeaceSummit, Switzerland",0,['SDLive'],miz point hate someon didnt start indi miz isnt best sure isnt worst sdlive
592367,UNKNOWN,en,for fucks sake i think i broke my finger it hurts so badfreaking fridge ugh but thankyoujanoskiansfor making me feel better rn,0,2016-07-06 21:44:46,NEGATIVE,333,330,Switzerland,0,['ThankYouJanoskiansFor'],fuck sake think broke finger hurt badfreak fridg ugh thankyoujanoskiansfor make feel better rn
2315616,MALE,en,stress is the fear of losing something,1,2016-08-20 18:12:33,NEGATIVE,14700,238,"Zürich, Switzerland",0,,stress fear lose someth
3411755,FEMALE,en,via toi news if i die or get hurt blame ram gopal amar singh let mulayam singh say that i have said anyth,1,2016-10-28 00:14:47,NEGATIVE,67,117,"Zurich,Switzerland",0,,via toi news die get hurt blame ram gopal amar singh let mulayam singh say said anyth
3308768,UNKNOWN,en,dear universities the only thing group projects accomplish are nervous breakdowns stress and disliking other people please stop it,1,2016-04-28 09:05:56,NEGATIVE,49,362,Switzerland,0,,dear univers thing group project accomplish nervous breakdown stress dislik peopl pleas stop
1608664,UNKNOWN,en,sooo sad,1,2016-09-14 20:23:45,NEGATIVE,124,90,"Genève, Suisse",0,,sooo sad
2557409,UNKNOWN,en,  depending upon how much of an emotional breakdown you get while in india one can gauge their control freak quotient,1,2016-08-22 08:28:16,NEGATIVE,855,619,"Zürich, Switzerland",0,,depend upon much emot breakdown get india one gaug control freak quotient
1206899,FEMALE,en,  and im crying because of the prettyvisitors dancelittleliar and cryinglightning ones yes i am total humbug trash,1,2016-08-11 13:28:06,NEGATIVE,974,180,switzerland,0,,im cri prettyvisitor dancelittleliar cryinglightn one yes total humbug trash
2573648,UNKNOWN,en, chiken feet dak bal lovers,0,2016-09-22 16:46:19,NEUTRAL,481,193,sh,0,,chiken feet dak bal lover
2375853,UNKNOWN,en,600 millions people with 5 years olds pc is sad according to apple what the fuck some people are just happy with that,0,2016-03-21 17:48:23,NEGATIVE,832,624,Suisse,0,,600 million peopl 5 year old pc sad accord appl fuck peopl happi
215829,UNKNOWN,en,im dropping my new single its called stressed out featuring me,1,2016-10-02 09:21:15,NEUTRAL,3273,2193,"Pfäffikon, Switzerland",0,,im drop new singl call stress featur
3131472,UNKNOWN,en,  runa compelling article on the truecrypt shut down keep up the great work,0,2016-01-27 16:07:01,NEUTRAL,3205,915,Switzerland,0,,runa compel articl truecrypt shut keep great work
1794672,UNKNOWN,en,theres a lot of shouting in the pub over the road i think its the rovers,0,2016-06-16 14:21:03,NEUTRAL,216,190,Geneva,0,,there lot shout pub road think rover
1252492,UNKNOWN,en,my cat legit be thinking its a ghost under the covers and attacking the shit out my foot,0,2016-10-11 16:37:12,NEGATIVE,1256,1077,"Uptown, Downtown, Switzerland",0,,cat legit think ghost cover attack shit foot
2726330,UNKNOWN,en,i hummed thans song on my way home and it hurt a lot because its not his song anymore its just his melody now,1,2016-01-24 22:05:38,NEUTRAL,319,135,Schweiz,0,,hum than song way home hurt lot song anymor melodi
2916694,MALE,en,i just uploaded the rediscovery of natrix tessellata on cyprus to  ,0,2016-07-25 20:28:21,NEUTRAL,15,27,"Merenschwand, Switzerland",0,,upload rediscoveri natrix tessellata cyprus
49187,MALE,en,  why do you hate me so,1,2016-06-01 07:55:54,NEGATIVE,150,128,Switzerland,0,,hate
1276610,UNKNOWN,en,21 blues,0,2016-03-12 12:59:51,NEUTRAL,293,95,Suisse,0,,21 blue
1676635,MALE,en,so apparently something i have known my entire life to be verloren brood nl is called french toastim pretty sure the americans hate us,0,2016-05-15 14:41:12,NEGATIVE,20,117,Switzerland,0,,appar someth known entir life verloren brood nl call french toastim pretti sure american hate us
377859,UNKNOWN,en,i miss being a kid when my biggest stress was coloring within the lines,1,2016-08-04 23:42:28,NEGATIVE,26000,894,Geneva,0,,miss kid biggest stress color within line
153929,UNKNOWN,en,i dont hate them i just dont like them i cant stand their presence in my evicinity,1,2016-05-02 22:49:35,NEUTRAL,147000,11500,Switzerland,0,,dont hate dont like cant stand presenc evicin
3519628,UNKNOWN,en,i know ive said this like 50 times now but i fucking hate when fangirls think theyre better than anybody bc theyre groupie material,1,2016-09-29 08:33:27,NEUTRAL,17400,10800,Switzerland,0,,know ive said like 50 time fuck hate fangirl think theyr better anybodi bc theyr groupi materi
1543171,UNKNOWN,en,i hate when girls make drama out of every little thing,0,2016-04-14 18:11:06,NEGATIVE,61,186,Switzerland,0,,hate girl make drama everi littl thing
330289,FEMALE,en,hahaha recovering during my 5th year took 2x as long warrior week was rough so to   for helpin a sista out at iowa tiredt my body aches like i have the flu but no flucan tell its senior year,0,2016-10-03 09:16:12,NEGATIVE,2365,760,,0,['TIREDT'],hahaha recov 5th year took 2x long warrior week rough helpin sista iowa tiredt bodi ach like flu flucan tell senior year
3217460,FEMALE,en,dont take work stress home with you via  ,1,2016-09-27 00:04:37,NEUTRAL,311,303,"Basel, Switzerland",0,,dont take work stress home via
3411621,MALE,en,i am redoing the book cover guys because the overwhelming feedback is that the first one is to scary i know i know,0,2016-10-28 23:29:03,NEGATIVE,154,65,"Ticino, Switzerland",0,,redo book cover guy overwhelm feedback first one scari know know
1524022,FEMALE,en,youre the cure youre the pain,1,2016-02-14 15:56:38,NEUTRAL,225,206,Suisse,0,,your cure your pain
3318644,FEMALE,en,starting to feel human again hangoverfromhell,0,2016-05-28 19:38:13,NEUTRAL,218,83,Switzerland,0,['hangoverfromhell'],start feel human hangoverfromhel
2322288,FEMALE,en,school is so stressful atm,1,2016-09-20 17:21:42,NEGATIVE,459,440,Switzerland,0,,school stress atm
1721332,FEMALE,en,ps we had an overdose of notre dame de paris long before skaters started using the music so jgpfigure,0,2016-09-15 17:51:58,NEUTRAL,703,102,Switzerland,0,['JGPFigure'],ps overdos notr dame de pari long skater start use music jgpfigur
2310168,UNKNOWN,en,guess u know i liked him 2 tough as any who ever played here knew his role played it threw to hurt didnt lose,1,2016-08-20 11:37:11,NEUTRAL,117,368,,0,,guess u know like 2 tough ever play knew role play threw hurt didnt lose
1237082,FEMALE,en,  nooo you and   were the reason ive wanted to go sooo badly so sad,1,2016-10-11 11:14:18,NEGATIVE,162,190,Switzerland,0,,nooo reason ive want go sooo bad sad
2683944,FEMALE,en,innovators dilemma create new products disruptive innovators or improve existing ones   innoversity,0,2016-09-23 16:24:55,NEGATIVE,485,299,Switzerland,0,['innoversity'],innov dilemma creat new product disrupt innov improv exist one innovers
1981527,FEMALE,en,scary that the icu of an expensive pvt hospital turned into a death chamber for the patients sumhospitalfiremishap bhubaneswar india saddened to know the fire break out in icu of sum hospital my thoughts are with deceased family sumhospitalfiremishap,0,2016-10-17 21:55:04,NEGATIVE,5419,4049,"Address: Bern, Switzerland",0,"['Bhubaneswar', 'India', 'SumHospitalFireMishap']",scari icu expens pvt hospit turn death chamber patient sumhospitalfiremishap bhubaneswar india sadden know fire break icu sum hospit thought deceas famili sumhospitalfiremishap
3463613,MALE,en,i just earned the paint the town red badge on  ,0,2016-04-29 17:54:56,NEUTRAL,50,99,Switzerland,0,,earn paint town red badg
3253570,FEMALE,en,      russia made their own fatal error theyre overstretched out floating on the sea floating duckz,0,2016-10-27 07:34:51,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,russia made fatal error theyr overstretch float sea float duckz
1287175,UNKNOWN,en,when i overhear spicy and juicy tea  ,0,2016-04-12 23:54:47,NEUTRAL,801,321,Switzerland,0,,overhear spici juici tea
2677377,UNKNOWN,en,  tired of such replies please act instead of just assuring ur painting a very sorry picture for   as a company,0,2016-09-23 08:26:58,NEGATIVE,63,71,Zurich,0,,tire repli pleas act instead assur ur paint sorri pictur compani
845148,UNKNOWN,en,you ask me if i love you and i choke on my reply id rather hurt you honestly than mislead you with a lie aldubsaafrica,1,2016-08-08 09:44:48,NEGATIVE,289,442,"Geneva, Switzerland",0,['ALDUBsaAfrica'],ask love choke repli id rather hurt honest mislead lie aldubsaafrica
3167024,FEMALE,en,if i say esp is gonna beat ita today all ma italian friends gonna hate me so i wont,1,2016-06-27 10:50:45,NEGATIVE,139,27,Switzerland,0,"['ESP', 'ITA']",say esp gonna beat ita today italian friend gonna hate wont
783962,FEMALE,en,craving a starbucks how did i get so addicted in like 3 days,0,2016-02-08 13:53:35,NEUTRAL,257,255,Switzerland,0,,crave starbuck get addict like 3 day
3117037,UNKNOWN,en,  i hate the online registration guys i hate it with all my heart,0,2016-10-26 17:17:19,NEGATIVE,-1,0,,0,,hate onlin registr guy hate heart
1024281,UNKNOWN,en,sir birthday cake is sad because hes awful at making your wishes come true indiedev  ,0,2016-02-10 15:58:32,NEUTRAL,597,260,Switzerland,0,['indiedev'],sir birthday cake sad hes aw make wish come true indiedev
3572608,FEMALE,en,these exact same people sitting in flint and washington the exact same individuals saying save assad in syria they started iraq liars,0,2016-10-29 14:02:55,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,exact peopl sit flint washington exact individu say save assad syria start iraq liar
141091,MALE,en,me investigating there was i thinking thats what   is there 4 but seems theyre too busy covering up,0,2016-04-02 21:28:50,NEUTRAL,450,413,Geneva,0,,investig think that 4 seem theyr busi cover
2602279,FEMALE,en,  of course granny square in cfb blue,0,2016-10-22 22:17:46,NEUTRAL,1262,1290,"Bonne-Fête, Switzerland",0,,cours granni squar cfb blue
1077632,UNKNOWN,en,i hate giving attention to someone who doesnt even care,1,2016-08-10 18:02:27,NEGATIVE,345,633,"Arau, Perlis",0,,hate give attent someon doesnt even care
20912,UNKNOWN,en,doing overtime this evening    ,0,2016-03-01 15:30:04,NEUTRAL,216,190,Geneva,0,,overtim even
2513794,UNKNOWN,en,troye in 11 days blueneighbourhoodtour,0,2016-04-22 10:52:10,NEUTRAL,1502,207,Switzerland,0,['BlueNeighbourhoodTour'],troy 11 day blueneighbourhoodtour
1310938,UNKNOWN,en,horrible news from orlando so sad my heart goes out to the victims and their families prayfororlando,1,2016-06-12 13:08:54,NEGATIVE,200,303,Switzerland,0,['prayfororlando'],horribl news orlando sad heart goe victim famili prayfororlando
820611,FEMALE,en,dont hurt yourself ,1,2016-06-08 16:15:52,NEGATIVE,174,94,Switzerland,0,,dont hurt
3534017,UNKNOWN,en,if i hated myself to be okay w a colorblind casting for the in the heights movie id need ariana grande to play vanessa,0,2016-09-29 00:27:17,NEGATIVE,1084,470,egg,0,,hate okay w colorblind cast height movi id need ariana grand play vanessa
3459151,MALE,en,whoever teaches hate  violence against anyone has not understood the very essence of the scriptures  ,1,2016-04-29 04:20:47,NEGATIVE,2007,2027,Basel,0,,whoever teach hate violenc anyon understood essenc scriptur
2137917,MALE,en,my senior rowing team did a nude calendar heres the cover shot nationalsendanudeday ,0,2016-05-19 17:02:57,NEUTRAL,1439,1484,Geneva,0,['NationalSendANudeDay'],senior row team nude calendar here cover shot nationalsendanudeday
1130055,UNKNOWN,en,a genius i want people to be afraid of the women i dress  alexander mcqueen 19692010,0,2016-10-10 00:28:18,NEUTRAL,977,623,Ryan,0,,genius want peopl afraid women dress alexand mcqueen 19692010
3401939,MALE,en,its halloween weekend most annoying time of the year cause my black self hates dressing up,1,2016-10-28 15:00:18,NEGATIVE,1497,610,Switzerland,0,,halloween weekend annoy time year caus black self hate dress
75203,MALE,en,or why does my stomach hurt ovarian cancer fjfjfjfj,0,2016-09-01 20:57:39,NEGATIVE,13,134,Switzerland,0,,stomach hurt ovarian cancer fjfjfjfj
1062735,UNKNOWN,en,three little african lion brothers ask  whos afraid of dentists von   auf  ,0,2016-06-10 18:08:42,NEGATIVE,112,6,Switzerland,0,,three littl african lion brother ask whos afraid dentist von auf
2883609,MALE,en,  diesel is falling who does want it still but the overall picture is still very good,0,2016-04-25 20:30:56,NEUTRAL,142,98,Switzerland,0,,diesel fall want still overal pictur still good
286083,FEMALE,en,  oh no i hate this,1,2016-08-03 08:00:14,NEGATIVE,98,333,"Savagnier, Suisse",0,,oh hate
3204218,UNKNOWN,en,  but the internet lines were much slower then most dialup you still think overall it was more,0,2016-09-27 04:22:02,NEGATIVE,6628,284,Switzerland,0,,internet line much slower dialup still think overal
898257,UNKNOWN,en,currently obsessed with recoveryroad,0,2016-02-09 21:43:58,NEUTRAL,24,85,Geneva,0,['RecoveryRoad'],current obsess recoveryroad
277157,MALE,en,  youre lucky that ignorance doesnt cause any physical pain failedcreationistonline evolution is fact,0,2016-06-03 19:59:34,NEGATIVE,818,1046,Switzerland,0,"['Evolution', 'FailedCreationistOnline']",your lucki ignor doesnt caus physic pain failedcreationistonlin evolut fact
1104853,FEMALE,en,theyre coming to get jolani for israel and theyre keeping assad and they want fsa to stop fighting in aleppo thats the plan syria,0,2016-09-10 02:39:00,NEUTRAL,3758,3188,"Zürich, Switzerland",0,['Syria'],theyr come get jolani israel theyr keep assad want fsa stop fight aleppo that plan syria
1925063,MALE,en,new stock of my favourite wheel hydrogenwheels 84mm inline_downhill  rollerblade urethane marathonberlin,0,2016-07-17 11:28:52,NEUTRAL,122,500,"Lausanne, Switzerland",0,"['84mm', 'hydrogenwheels', 'inline_downhill', 'marathonberlin', 'rollerblade', 'urethane']",new stock favourit wheel hydrogenwheel 84mm inline_downhil rollerblad urethan marathonberlin
1063747,UNKNOWN,en,i dont hate you i just lost all respect for you and i have nothing to say to you anymore,1,2016-07-10 21:27:38,NEGATIVE,138,300,Schweiz,0,,dont hate lost respect noth say anymor
1603402,UNKNOWN,en,    overwatch i thought the hype was over,0,2016-09-14 18:19:02,NEGATIVE,32,14,Switzerland,0,,overwatch thought hype
3549063,UNKNOWN,en,joanne by lady gaga makes me so sad but i cant stop listening to it,1,2016-10-29 18:33:16,NEGATIVE,15800,13100,Switzerland,0,,joann ladi gaga make sad cant stop listen
3710479,UNKNOWN,en,how to handle disappointment in addiction recovery  addiction blog,0,2016-10-30 13:50:06,NEUTRAL,81,167,"Zurich, Switzerland",0,,handl disappoint addict recoveri addict blog
1848762,UNKNOWN,en,this is not a case of feed africa and the impoverished childrens pictures we share round social media depicting physical hunger tvs2016,0,2016-09-16 06:41:16,NEGATIVE,36,14,"Geneva, Switzerland",0,['TVS2016'],case feed africa impoverish children pictur share round social media depict physic hunger tvs2016
1264044,UNKNOWN,en,swfc come on you blue and white wizards,0,2016-01-12 19:08:34,NEUTRAL,1351,1557,Switzerland,0,['swfc'],swfc come blue white wizard
1964689,UNKNOWN,en,its never been easy but now its getting ruthless a lil more pain thats just better music,1,2016-09-17 20:23:17,NEUTRAL,433,588,NW,0,,never easi get ruthless lil pain that better music
3175515,UNKNOWN,en,ugh my my leg is really hurting,0,2016-07-27 01:54:57,NEGATIVE,158,166,"Ebel City, Basel",0,,ugh leg realli hurt
2037335,UNKNOWN,en,  idk im just sure shes gonna try and pull something to paint him in the wrong again,0,2016-07-18 04:15:08,NEGATIVE,812,683,"Uptown, Downtown, Switzerland",0,,idk im sure shes gonna tri pull someth paint wrong
2132759,FEMALE,en,  an assadist shared this pic saying air force targeting jan positions,0,2016-04-19 16:40:28,NEUTRAL,180,719,Switzerland,0,,assadist share pic say air forc target jan posit
2220873,MALE,en,  the copypaste fail is a highlight of this sad experience,0,2016-10-19 14:11:49,NEGATIVE,1075,120,"Zurich, Switzerland",0,,copypast fail highlight sad experi
1030677,MALE,en,  well i cant tell you every song but bastards unanswered remorse the red white  blues were surely a part of the setlist,0,2016-03-10 22:38:53,NEGATIVE,92,125,Switzerland,0,,well cant tell everi song bastard unansw remors red white blue sure part setlist
480596,MALE,en,why the hell are you hating the new water starter its cute i could understand when you would hate the plantbird ,0,2016-07-05 22:47:46,NEGATIVE,114,420,Switzerland,0,,hell hate new water starter cute could understand would hate plantbird
1326899,MALE,en,from wikipedias deadshot character description i find that way of phrasing it far too funny suicidesquad ,0,2016-08-12 10:15:13,NEGATIVE,394,1142,Meggen,0,['SuicideSquad'],wikipedia deadshot charact descript find way phrase far funni suicidesquad
3655907,UNKNOWN,en,he facetimed me and hes like 10 ft away i hate him peep claire in the last one,0,2016-09-30 19:37:31,NEUTRAL,574,89,court,0,,facetim hes like 10 ft away hate peep clair last one
1999028,UNKNOWN,en,most annoying things those colourful subtitles and whatever that soundtrack is supposed to be,0,2016-02-18 21:01:02,NEGATIVE,561,372,Switzerland,0,,annoy thing colour subtitl whatev soundtrack suppos
1849676,UNKNOWN,en,the gvt of newzealand tells the uncrc cmte it tries to address disadvantages of maori children through education uncrc73,0,2016-09-16 08:16:55,NEGATIVE,2203,693,"Geneva, Switzerland",0,"['Maori', 'NewZealand', 'UNCRC', 'UNCRC73', 'education']",gvt newzealand tell uncrc cmte tri address disadvantag maori children educ uncrc73
62800,UNKNOWN,en,just because i disagree with you doesnt mean i hate you people jump to conclusions so fast,1,2016-08-01 21:03:08,NEGATIVE,300,835,Switzerland,0,,disagre doesnt mean hate peopl jump conclus fast
3657187,MALE,en,  you are ruining my wedding celebration cant forgive you you made my wife   sad,1,2016-09-30 20:54:55,NEGATIVE,248,289,"Lausanne, Switzerland",0,['wedding'],ruin wed celebr cant forgiv made wife sad
3686067,UNKNOWN,en,    wanting to drop bombs on china for example i hate trump  hillary but i hate that everyone pretends shes good,0,2016-10-30 18:40:02,NEUTRAL,355,193,Switzerland,0,,want drop bomb china exampl hate trump hillari hate everyon pretend shes good
2490285,UNKNOWN,en,god i was so fucking stressed this morning i dont even have words for it but i was basically able to write over 4000 words  other stuff,1,2016-01-22 16:13:37,NEUTRAL,100,80,Switzerland,0,,god fuck stress morn dont even word basic abl write 4000 word stuff
2741068,FEMALE,en,  oh no that is sad he was a legend,1,2016-03-24 12:42:50,NEGATIVE,682,428,Switzerland,0,,oh sad legend
1361405,UNKNOWN,en,    anorexia is an eating disorder obesity isnt,1,2016-10-12 19:14:32,NEGATIVE,86,480,Lausanne,0,,anorexia eat disord obes isnt
3553741,MALE,en,twitter is shutting downvine,0,2016-10-29 06:27:06,NEUTRAL,946,876,"Zug, Switzerland",0,,twitter shut downvin
256592,UNKNOWN,en,judge tolentino didnt take into account the overwhelming evidence that webb was in the us at the time of the gruesome murders,0,2016-04-03 02:46:23,NEGATIVE,293,331,Switzerland,0,,judg tolentino didnt take account overwhelm evid webb us time gruesom murder
1853146,FEMALE,en,    dont worry about messanger i dont belong to any group and do not write anymore to anyone ciao,1,2016-10-16 20:06:29,NEGATIVE,66,89,Svizzera,0,,dont worri messang dont belong group write anymor anyon ciao
111015,MALE,en,and there is act in   art in fart end in weekend bull in shit thanks sherlock theres hell in hello good in goodbye lie in believe over in lover end in friend ex in next if in life,0,2016-10-01 15:38:21,NEGATIVE,68,295,"Genève, Switzerland",0,,act art fart end weekend bull shit thank sherlock there hell hello good goodby lie believ lover end friend ex next life
2964321,MALE,en,reuters assads mass murder in aleppo being helped by iranbacked militias hezbollah and a palestinian militia,0,2016-09-25 22:45:18,NEUTRAL,21200,2,"Geneva, Switzerland",0,,reuter assad mass murder aleppo help iranback militia hezbollah palestinian militia
102884,UNKNOWN,en,overcast clouds  light rain humidity up 68  74 wind 2kmh  5kmh,0,2016-10-01 13:12:16,NEUTRAL,10,1,"Bern, Switzerland",0,,overcast cloud light rain humid 68 74 wind 2kmh 5kmh
2662225,UNKNOWN,en, chiken feet dak bal lovers,0,2016-08-23 02:19:01,NEUTRAL,481,193,sh,0,,chiken feet dak bal lover
2602677,UNKNOWN,en,teengenerate  lets get hurt,0,2016-10-22 07:30:43,NEGATIVE,563,1000,Bar,0,,teengener let get hurt
3071043,MALE,en,we are concerned by systematic action taken by a number of governments to suppress the legitimate activities of civil society hrc33,0,2016-09-26 11:51:29,NEGATIVE,1178,602,Geneva,0,['HRC33'],concern systemat action taken number govern suppress legitim activ civil societi hrc33
1602522,UNKNOWN,en,  hahaha aina the trick is u just teach whatev u want nanti orang baca goodluck,0,2016-09-14 13:47:14,NEGATIVE,514,207,Switzerland,0,,hahaha aina trick u teach whatev u want nanti orang baca goodluck
1452035,UNKNOWN,en,carlo chatrian and giada marsadri on the piazza grande stage to open the last official night of locarno69,0,2016-08-13 19:06:16,NEUTRAL,37600,3327,"Locarno, Switzerland",0,['Locarno69'],carlo chatrian giada marsadri piazza grand stage open last offici night locarno69
3145831,UNKNOWN,en,draft coverage over   is going way to far nfldraft mockdraft ouch ,0,2016-04-27 22:02:30,NEUTRAL,37,348,Bern,0,"['MockDraft', 'NFLDraft', 'Ouch']",draft coverag go way far nfldraft mockdraft ouch
315629,UNKNOWN,en,no point wasting time on the trumphumpers whatever happens on nov 8 theyll be the losers,0,2016-10-03 14:41:04,NEGATIVE,2,38,Switzerland,0,,point wast time trumphump whatev happen nov 8 theyll loser
3691286,MALE,en,fight against something and we focus on the thing we hate fight for something and we focus on the thing we love  simon sinek,0,2016-10-30 14:15:36,NEUTRAL,13300,15100,prilly,0,,fight someth focus thing hate fight someth focus thing love simon sinek
3494685,FEMALE,en,the candy man has fallen genewilder sadness,0,2016-08-29 20:03:40,NEGATIVE,466,2030,Switzerland,0,['GeneWilder'],candi man fallen genewild sad
1519766,UNKNOWN,en,what a sad day alan rickman was one of my favourite actors my thoughts are with his family and friends rip legend,1,2016-01-14 14:23:15,NEUTRAL,200,303,Switzerland,0,,sad day alan rickman one favourit actor thought famili friend rip legend
2900989,UNKNOWN,en,  are u retard fuckin undeserved couldnt even set one counter in overtime looser team goodbye im quarters,0,2016-06-25 16:10:56,NEGATIVE,37,131,Switzerland,0,,u retard fuckin undeserv couldnt even set one counter overtim looser team goodby im quarter
2800142,UNKNOWN,en,  i hate myself lmaooo,1,2016-08-24 02:35:32,NEGATIVE,11400,93,lyss,0,,hate lmaooo
2962442,UNKNOWN,en,me  i hate moles i dont understand how can people love these jinyoung  removes hi mole my fucking impact,1,2016-09-25 07:54:05,NEGATIVE,-1,0,,0,,hate mole dont understand peopl love jinyoung remov hi mole fuck impact
2034752,UNKNOWN,en,bible reading proverbs 1 2 3 4 5 6 7 proverbs biblereading bible kjv,0,2016-07-18 11:00:34,NEUTRAL,41,0,Switzerland,0,"['Bible', 'BibleReading', 'KJV', 'Proverbs']",bibl read proverb 1 2 3 4 5 6 7 proverb bibleread bibl kjv
305012,FEMALE,en,vanessa beeley a fake journalist who was just in syria with assad calls for assassination of cnn journalist fyi   ,0,2016-09-03 09:32:55,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,vanessa beeley fake journalist syria assad call assassin cnn journalist fyi
2264265,UNKNOWN,en,  it makes me soo sad and angry at the same time but it is what it is youre right lets just hope for the best,1,2016-05-20 11:28:04,NEUTRAL,4510,2454,Switzerland,0,,make soo sad angri time your right let hope best
2474169,UNKNOWN,en,scrimmage turned around my whole mood but still sad about the news i received,1,2016-10-21 00:34:01,NEGATIVE,973,406,court,0,,scrimmag turn around whole mood still sad news receiv
899890,UNKNOWN,en,  sadly thats a fake hope you can still get a refund before it breaks stick to authorised retailers to avoid disapointment,0,2016-02-09 15:51:03,NEUTRAL,1405,116,Zürich,0,,sad that fake hope still get refund break stick authoris retail avoid disapoint
3808189,UNKNOWN,en,  i actually hate you,1,2016-10-31 19:48:50,NEGATIVE,977,623,Ryan,0,,actual hate
1864990,UNKNOWN,en,which makes it only me understand it 100 how sad,1,2016-10-16 17:37:57,NEGATIVE,145,156,"Arau, Ps -- Puncak Alam, Slgr",0,,make understand 100 sad
997638,UNKNOWN,en,who am i supposed to play overwatch with,0,2016-10-09 21:12:22,NEUTRAL,732,465,Switzerland,0,,suppos play overwatch
647855,UNKNOWN,en,fell over on sat and hurt my knees still cant walk properly i wasnt even drunk ,0,2016-10-06 16:33:50,NEGATIVE,262,152,"Basel-Country, Switzerland",0,,fell sat hurt knee still cant walk proper wasnt even drunk
3370076,UNKNOWN,en,so sad to see amber hang on to matt to prove everyone else wrong teenmomog,0,2016-09-28 15:40:28,NEGATIVE,812,683,"Uptown, Downtown, Switzerland",0,['teenmomog'],sad see amber hang matt prove everyon els wrong teenmomog
1657754,FEMALE,en,and i hate sam she can fuck off,1,2016-03-15 03:11:08,NEGATIVE,876,567,Switzerland,0,,hate sam fuck
1740273,MALE,en,repost    just around the corner painted on the side of cuauhtemoc station monterrey northern mexico,0,2016-10-15 15:08:37,NEUTRAL,477,601,Zürich,0,['Repost'],repost around corner paint side cuauhtemoc station monterrey northern mexico
489387,UNKNOWN,en,rt   what are you doing soooo funny kkl luzern thecorrs blueballsfestival ,0,2016-08-05 11:00:33,NEGATIVE,377,145,"Luzern, Schweiz",0,"['blueballsfestival', 'kkl', 'luzern', 'thecorrs']",rt soooo funni kkl luzern thecorr blueballsfestiv
3135708,UNKNOWN,en,  its not hate i just know he is totally overrated and you can bet,1,2016-02-27 21:11:54,NEUTRAL,2833,887,Switzerland,0,,hate know total overr bet
2654963,UNKNOWN,en,  start giving loan to women and not only to governments,0,2016-08-23 18:42:14,NEUTRAL,55,66,Geneva,0,,start give loan women govern
294962,FEMALE,en,i hate my dad bye,1,2016-09-03 10:14:36,NEGATIVE,437,580,Switzerland,0,,hate dad bye
2303611,MALE,en,feel bad for the hct casters having to deal with so many technical issues well done tj and sottle keep the chat going  ,0,2016-08-20 18:32:53,NEGATIVE,238,383,"Zurich, Switzerland",0,['HCT'],feel bad hct caster deal mani technic issu well done tj sottl keep chat go
670675,UNKNOWN,en,hi shawn i love you so much  im so sad bc you dont come to switzerland for your tour i hope you will come next year x19,0,2016-03-07 20:31:51,NEUTRAL,340,922,Switzerland,0,,hi shawn love much im sad bc dont come switzerland tour hope come next year x19
1649890,FEMALE,en,hate when that happens never gave up on one though saw some great 5 reviews of a book i just reviewed dont get why,0,2016-02-15 08:04:12,NEUTRAL,3175,1854,Switzerland,0,,hate happen never gave one though saw great 5 review book review dont get
2987374,FEMALE,en,stop them and we would not have to hear continuous lies from the neoleft and russiophiles while syria is slaughtered by assadputin 22,0,2016-10-25 08:10:29,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,stop would hear continu lie neoleft russiophil syria slaughter assadputin 22
482548,UNKNOWN,en,to all jorha lovers ,0,2016-07-05 13:21:03,NEUTRAL,1583,780,Switzerland,0,,jorha lover
1707002,FEMALE,en,dangly wobbly wrinkled snaky things  discoveries at summer camp by  ,0,2016-08-15 15:31:27,NEGATIVE,787,1626,"Lucerne, Switzerland",0,,dang wobbl wrinkl snaki thing discoveri summer camp
3054678,UNKNOWN,en,i hate birthdays,1,2016-08-26 19:40:50,NEGATIVE,122,521,Switzerland,0,,hate birthday
